"","country_iso_code","country","value2010","value2019","difference"
"1","AFG","Afghanistan",0.707,0.676,-0.0309999999999999
"2","AGO","Angola",0.554,0.533,-0.021
"3","ALB","Albania",0.192,0.131,-0.061
"4","ARE","United Arab Emirates",0.177,0.045,-0.132
"5","ARG","Argentina",0.372,0.291,-0.081
"6","ARM","Armenia",0.346,0.219,-0.127
"7","AUS","Australia",0.136,0.08,-0.056
"8","AUT","Austria",0.11,0.053,-0.057
"9","AZE","Azerbaijan",0.342,0.317,-0.025
"10","BDI","Burundi",0.535,0.499,-0.036
"11","BEL","Belgium",0.092,0.048,-0.044
"12","BEN","Benin",0.636,0.652,0.016
"13","BFA","Burkina Faso",0.602,0.594,-0.00800000000000001
"14","BGD","Bangladesh",0.602,0.521,-0.081
"15","BGR","Bulgaria",0.229,0.205,-0.024
"16","BHR","Bahrain",0.259,0.194,-0.065
"17","BHS","Bahamas",0.369,0.335,-0.034
"18","BIH","Bosnia and Herzegovina",0.215,0.146,-0.069
"19","BLR","Belarus",0.148,0.098,-0.05
"20","BLZ","Belize",0.407,0.46,0.053
"21","BOL","Bolivia (Plurinational State of)",0.477,0.426,-0.051
"22","BRA","Brazil",0.448,0.396,-0.052
"23","BRB","Barbados",0.35,0.309,-0.041
"24","BRN","Brunei Darussalam",NA,0.285,NA
"25","BTN","Bhutan",0.476,0.332,-0.144
"26","BWA","Botswana",0.502,0.458,-0.044
"27","CAN","Canada",0.139,0.075,-0.064
"28","CHE","Switzerland",0.057,0.018,-0.039
"29","CHL","Chile",0.351,0.214,-0.137
"30","CHN","China",0.247,0.187,-0.06
"31","CIV","Côte d'Ivoire",0.639,0.623,-0.016
"32","CMR","Cameroon",0.62,0.564,-0.056
"33","COD","Congo (Democratic Republic of the)",0.66,0.618,-0.042
"34","COG","Congo",0.618,0.589,-0.029
"35","COL","Colombia",0.452,0.408,-0.044
"36","CPV","Cabo Verde",NA,0.353,NA
"37","CRI","Costa Rica",0.318,0.239,-0.079
"38","CUB","Cuba",0.333,0.307,-0.026
"39","CYP","Cyprus",0.191,0.235,0.044
"40","CZE","Czechia",0.139,0.124,-0.015
"41","DEU","Germany",0.096,0.079,-0.017
"42","DNK","Denmark",0.049,0.016,-0.033
"43","DOM","Dominican Republic",0.488,0.448,-0.04
"44","DZA","Algeria",0.517,0.397,-0.12
"45","ECU","Ecuador",0.431,0.387,-0.044
"46","EGY","Egypt",0.547,0.418,-0.129
"47","ESP","Spain",0.105,0.056,-0.049
"48","EST","Estonia",0.159,0.092,-0.067
